-0.001 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.025 
0.0001 -0.95125 0 0 0 0.2315625 0.154375 0 0 0.18525 0.18525 
0.0001 0 -0.95125 0.30875 0.132321428571429 0 0 0 0 0.18525 0 
0.0001 0 0.30875 -0.95125 0.132321428571429 0 0.154375 0 0 0 0 
0.0001 0 0.30875 0.30875 -0.951250000000003 0.2315625 0.154375 0 0.18525 0.18525 0.18525 
0.0001 0.2315625 0 0 0.132321428571429 -0.95125 0.154375 0 0.18525 0 0 
0.0001 0.2315625 0 0.30875 0.132321428571429 0.2315625 -0.95125 0 0 0.18525 0.18525 
0.0001 0 0 0 0 0 0 -0.95125 0.18525 0 0.18525 
0.0001 0 0 0 0.132321428571429 0.2315625 0 0.463125 -0.95125 0.18525 0.18525 
0.0001 0.2315625 0.30875 0 0.132321428571429 0 0.154375 0 0.18525 -0.95125 0 
0.0001 0.2315625 0 0 0.132321428571429 0 0.154375 0.463125 0.18525 0 -0.95125 
